,correlation,noise
0,0.897938772520885,0.0
1,0.8397572547183434,0.0
2,0.90238390513502,0.0
3,0.8956331257598386,0.0
4,0.8333486902713053,0.0
5,0.9169503556841117,0.0
6,0.8231726050072562,0.0
7,0.9101140041895124,0.0
8,0.872231146892493,0.0
9,0.9319189844858982,0.0
10,0.6901059150146442,0.0
11,0.8335005035454595,0.0
12,0.8229971964196015,0.0
13,0.843363820450121,0.0
14,0.8969693353247136,0.0
15,0.787276195782631,0.0
16,0.9102782311239527,0.0
17,0.9374321499628457,0.0
18,0.788736936949407,0.0
19,0.4554341985127489,0.0
20,0.7211790891383831,0.0
21,0.9138005149914044,0.0
22,0.8862900073484266,0.0
23,0.9385775909958107,0.0
24,0.8614513801653261,0.0
25,0.9319083272737626,0.0
26,0.9050639671446764,0.0
27,0.9370739941024772,0.0
28,0.9306050236091242,0.0
29,0.8537852461671708,0.0
30,0.8488966953582505,0.05
31,0.7333334703246955,0.05
32,0.9117871576972575,0.05
33,0.7737943893521906,0.05
34,0.8632741703183423,0.05
35,0.8815867394119167,0.05
36,0.9315990768054576,0.05
37,0.8943761493447825,0.05
38,0.6124630916768775,0.05
39,0.810067879671346,0.05
40,0.91156891815893,0.05
41,0.9108164892455382,0.05
42,0.8539355102389622,0.05
43,0.9108316843746912,0.05
44,0.8424973109513463,0.05
45,0.9287389902835692,0.05
46,0.8584551635097859,0.05
47,0.9417803402120167,0.05
48,0.814943086658165,0.05
49,0.6907044969274921,0.05
50,0.8901208180069001,0.05
51,0.7634675492234061,0.05
52,0.8530747046009243,0.05
53,0.9195536156775289,0.05
54,0.8579407429936743,0.05
55,0.8410547925784114,0.05
56,0.9023982792992394,0.05
57,0.7503979491596235,0.05
58,0.9212782846431427,0.05
59,0.892553625397552,0.05
60,0.7905178181267285,0.1
61,0.8608272522828021,0.1
62,0.7444891988653063,0.1
63,0.7773215974894535,0.1
64,0.8769562625042698,0.1
65,0.9072371000720696,0.1
66,0.9025089545734979,0.1
67,0.7617003289666289,0.1
68,0.776370356224505,0.1
69,0.8331356837311468,0.1
70,0.8755223196223311,0.1
71,0.9020686189928588,0.1
72,0.9128542805793463,0.1
73,0.9068881278638958,0.1
74,0.9164098571507309,0.1
75,0.8925105093265272,0.1
76,0.9225605559899286,0.1
77,0.8080082135263117,0.1
78,0.836171860710674,0.1
79,0.8338541793390557,0.1
80,0.9026273833388361,0.1
81,0.8616833604220122,0.1
82,0.8840403061619478,0.1
83,0.8685491322999197,0.1
84,0.7699711462405292,0.1
85,0.9132393041791775,0.1
86,0.8790492900678143,0.1
87,0.9147886586607441,0.1
88,0.9005936071997643,0.1
89,0.7285812843583722,0.1
90,0.8729710293306503,0.2
91,0.8649097147412546,0.2
92,0.8276464135663256,0.2
93,0.8638803650542786,0.2
94,0.8694449745026817,0.2
95,0.8873653838754038,0.2
96,0.8886435774715619,0.2
97,0.8757369929851966,0.2
98,0.9098207551684323,0.2
99,0.5280440647116995,0.2
100,0.7715307948166436,0.2
101,0.8269170578299148,0.2
102,0.9032636763430004,0.2
103,0.8485149880628284,0.2
104,0.8889306075447903,0.2
105,0.8318196872029245,0.2
106,0.9103634437668631,0.2
107,0.8949912291305114,0.2
108,0.8762527554296374,0.2
109,0.8622114073434363,0.2
110,0.8123786468907528,0.2
111,0.7796450267336821,0.2
112,0.8857057639987828,0.2
113,0.9137040571058579,0.2
114,0.7743494674636429,0.2
115,0.9213735209167816,0.2
116,0.7064157430471286,0.2
117,0.8372299378176821,0.2
